Asset_ID,Device_Type,Asset_Make,Model_Details,Purchase Date,Maintanence Period,Maintanence Date(Last),Crticality,WARR END DT,Vendor Details 
PC_101,Personal Computer,HP,ELITE DESK 800 G1 SFF,09-11-2015,6 months,15-01-2026,High,08-11-2020,"RICOH INDIA LTD, SANJIT SAHA 9981175004"
PC_102,Personal Computer,HP,ELITE DESK 800 G2 SFF,02-05-2016,6 months,22-12-2025,High,18-09-2021,"RICOH INDIA LTD, SANJIT SAHA 9981175004"
PC_103,Personal Computer,HP,ELITE DESK 800 G2 SFF,02-06-2016,6 months,08-02-2026,High,06-02-2022,"MINOSHA INDIA LTD, JP BADHANI 01204582900"
PC_104,Personal Computer,HP,ELITE DESK 800 G2 SFF,01-09-2016,6 months,30-11-2025,High,06-02-2022,"MINOSHA INDIA LTD, JP BADHANI 01204582900"
PC_105,Personal Computer,DELL,DELL OPTIPLEX 9020 MT,26-03-2014,6 months,17-01-2026,High,25-03-2019,"KEY COMPUTERS, 07122525638"
PC_106,Personal Computer,ACER,VERITON M6650G,14-06-2018,12 months,12-09-2025,Medium,13-08-2021,"VARELI TECNAC PVT LTD, SANDEEP BANERJEE 9330259319"
PC_107,Personal Computer,ACER,Vertion Desktop M6650G,19-03-2018,12 months,25-10-2025,Medium,13-03-2022,"VARELI TECNAC PVT. LTD, SANDEEP BANERJEE 9330259319"
PC_108,Personal Computer,HP,Pro One G4,28-08-2019,12 months,05-01-2026,Medium,24-09-2022,"SAM SYSTEMS BHOPAL, 07552574985"
PC_109,Personal Computer,ACER,Veriton Desktop M6650G,11-03-2022,12 months,18-03-2026,Low,22-07-2027,ANV DIGI SOLUTIONS PVT LTD
PC_110,Personal Computer,FOXTROT,IC/V/VX,25-09-2023,12 months,14-02-2026,Low,04-02-2027,"VA INFOSOLUTIONS INDIA PVT. LTD.  Toll Free No. 1800113214, Mob. 9810003214, Email. sales@vainfo.in"
PC_111,Personal Computer,HP,ProOne 440 G9,24-07-2023,12 months,28-01-2026,Low,07-02-2027,"TEAM COMPUTERS PVT. LTD NEW DELHI Email- amitgupta@teamcomputers.com, Mob- 9667905364, 9910996536"
PC_112,Personal Computer,HP,HP PRO ONE 440 G9 AIO,30-04-2024,12 months,20-04-2026,Low,23-07-2027,ANV DIGI SOLUTIONS PVT.LTD.  Anup Kumar Upadhyay - 9630042428
PC_113,Personal Computer,HP,Pro One 440 G9 AIO,30-04-2025,12 months,10-05-2026,Low,21-04-2028,"Team Computer PVT. LTD. New Delhi-66, Ph.: 01142004200"
PC_114,Personal Computer,HP,Pro One 440 G9 AIO RCTO/I3,08-10-2025,12 months,15-05-2026,Low,10-11-2028,"Team Computer PVT. LTD. New Delhi-66, Ph.: 01142004201"
LB101,Laser Printer,HP,PRO 1606DN,09-05-2016,3 months,18-01-2026,High,16-05-2017,"RAJAT SALES KHARGONE, 07282233299"
LB102,Laser Printer,HP,HP 1020PLUS,25-04-2016,3 months,05-02-2026,High,30-05-2017,"RAJAT SALES KHARGONE, 07282233299"
LB103,Laser Printer,SAMSUNG,M2876FD,18-10-2016,3 months,12-12-2025,High,,"UNIQUE STATIONERS NAGPUR, 7122763062"
LB104,Laser Printer,CANON,IMAGE CLASS MF244DW,31-08-2017,3 months,25-01-2026,High,22-09-2020,"SALOMI AGENCIES INDORE, 07314069696"
LB105,Laser Printer,HP,Laserjet M1213nf MFP,30-11-2022,6 months,14-03-2026,Medium,,
LB106,Laser Printer,BROTHER PRINTER,DCP-B75DW IND,12-12-2022,6 months,28-02-2026,Medium,16-11-2025,BORTHER INTERNASTIONL INDIA PVT.LTD
LB107,Laser Printer,HP,LaserJet Pro M304-M305,30-05-2023,6 months,10-04-2026,Medium,17-11-2025,"Pareek Enterprises Indore(9424589206, 9977866869) pareekntp@gmail.com"
LB108,Laser Printer,BROTHER PRINTER,DCP-B7535DW IND,12-01-2025,6 months,20-05-2026,Low,18-05-2025,"RAJAT SALES KHARGONE, 07282233299"
LB109,Laser Printer,CWC,CWC M225 Laser Printer,27-02-2026,12 months,27-05-2026,Low,09-04-2030,"RAJAT SALES KHARGONE, Mob.9424535599"
LB110,Laser Printer,CWC,3336 Series MFM,30-04-2026,12 months,30-05-2026,Low,18-03-2031,"Asian Sales Agency Chennai- 9819373151, 7990263879"
PH101,Photocopier,Toshiba,eSTUDIO 2309A,09-05-2016,6 months,20-01-2026,High,30-06-2017,"RAJAT SALES KHARGONE, 07282233299"
PH102,Photocopier,Sharp,MX-M564N,09-01-2017,6 months,15-02-2026,High,09-06-2022,"SHARP BUSINESS SYSTEMS INDIA LTD, 07712582367"
PH103,Photocopier,HP Laserjet MFP,M436,22-03-2018,12 months,10-03-2026,Medium,09-06-2022,"Veltronics India Pvt.Ltd, Sanjeev Gupta 07312515381"
SR101,Server,HP,HPE PROLIANT DL 20,28-01-2017,6 months,15-01-2026,High,12-04-2018,"HEXXA GEO, sameer 9099974063 Sarika 9725014141"
SR102,Server,ACER,ACER SERVER,19-04-2017,6 months,22-02-2026,High,31-07-2023,"HITACHI SYSTUM MICRO CLINIC PVT LTD, PANKAJ JAIN 9871694173"
SR103,Server,ACER,ACER ALTOS R380 F3 RACK SRVER,19-04-2017,6 months,05-02-2026,High,31-07-2023,"HITACHI SYSTUM MICRO CLINIC PVT LTD, PANKAJ JAIN 9871694173"
SR104,Server,HP,ACER ALTOS R380 F3 RACK SRVER,01-05-2018,6 months,18-03-2026,High,,"Creative Communications, ANIL 5412210445"
SR105,Server,CYBEROAM,CR50iNG,01-05-2018,6 months,12-01-2026,Critical,16-07-2024,"Creative Communications, ANIL 5412210445"
SR106,Server,HP,DL SERVER,01-05-2018,6 months,25-02-2026,High,16-07-2024,"Creative Communications, ANIL 5412210445"
SR107,Server,QNAP NAS DEVICE,SAS-48TB,14-10-2017,6 months,10-03-2026,Critical,29-11-2023,"Technoware System India Pvt. Ltd., SHANTNOO 012024441962"
SR108,Server,SOPHOS,XG210,26-08-2019,6 months,05-04-2026,Critical,19-09-2024,"TECHNOWARE SYSTEM INDIA (P) LTD. ,SHANTNOO 012024441962"
SR109,Server,DELL,PowerEdge R640 Server,19-05-2020,12 months,20-03-2026,High,27-07-2026,"TECHNOWARE SYSTEM INDIA (P) LTD. ,SHANTNOO 012024441962"
SR110,Server,SOPHOS,XG210 Firewalls,19-05-2020,6 months ,15-04-2026,Critical,27-07-2026,"TECHNOWARE SYSTEM INDIA (P) LTD. ,SHANTNOO 012024441962"
SR111,Server,NETBYTES,SRS1,17-04-2024,12 months,05-05-2026,Medium,,Spectra Technologies India Pvt. Ltd
SR112,Server,FORTINET,SRS1,25-06-2024,12 months,12-05-2026,High,12-08-2030,CCS COMPUTER PVT. LTD. New Delhi-110019
SR113,Server,HP,DL SERVER,27-10-2024,12 months,18-05-2026,Medium,,
SR114,Server,LENEVO,SR630,30-04-2024,12 months,22-05-2026,Medium,02-08-2030,Score Information Technologies limited Kolkata 
SR115,Server,QNAP,TS-h1887XU-RP-E2334-16G,30-04-2024,12 months,25-05-2026,High,02-08-2030,Score Information Technologies limited Kolkata 
SR116,Server,HPE,DL360 Gen11,30-10-2024,12 months,28-05-2026,Medium,05-01-2031,"ThoughtSol Infotech Pvt Ltd, Arvind kumar Mob- 8287430387"
SR117,Server,SOPHOS,XGS 2100,28-06-2025,12 months,01-06-2026,High,12-09-2031,Creative Communication Varanasi (UP)232101
SR118,Server,AICATEL-LUCENT,OV2500,28-06-2025,12 months,03-06-2026,High,12-09-2031,Creative Communication Varanasi (UP)232101
SF101,Softwares,ADOBE ACROBAT,DC2015 VER 12,21-04-2017,12 months,15-04-2026,Medium,,"EMBEE SOFTWARE PVT LTD, AJAY NAYAK 06742540550"
SF102,Softwares,AUTO CAD,LATEST VERSION,11-04-2017,12 months,10-04-2026,High,18-04-2020,"ANB COMPUTER SOLUTION PVT LTD, VINAY 01141607231"
SF103,Softwares,MS VISUAL STUDIO,LATEST PROF. OLP,12-04-2017,12 months,12-04-2026,High,,"K2 INFOSYS, Agrawal 9131331655 k2infosys@rediffmail.com"
SF104,Softwares,AUTO CAD,Latest Version,20-01-2018,12 months,20-01-2026,High,29-01-2021,"SAM SYSTEMS BHOPAL, 07552574985"
SF105,Softwares,ADOBE ACROBAT,LATEST PROF. OLP,20-01-2018,12 months,18-01-2026,Medium,,"SAM SYSTEMS BHOPAL, 07552574985"
SF106,Softwares,SQL Server,Latest Version,20-01-2018,6 months,01-03-2026,Critical,,"KIOSK TECHNOLOGIES PVT LTD, RAJESH 03324661109"
SF107,Softwares,AUTO CAD,Latest Version,07-07-2021,12 months,07-04-2026,High,11-07-2024,Greenleaf It Consulting Pvt. Ltd
SF108,Softwares,ADOBE ACROBAT PRO,Latest Version,30-03-2024,12 months,30-03-2026,Medium,21-04-2025,"Cadtrans Infotech Pvt Ltd, Kolkata"
